Year,Value
1960,59184116489
1961,49557050183
1962,46685178504
1963,50097303271
1964,59062254890
1965,69709153115
1966,75879434776
1967,72057028560
1968,69993497892
1969,78718820478
1970,91506211306
1971,98562023844
1972,1.1216E+11
1973,1.3677E+11
1974,1.42255E+11
1975,1.61162E+11
1976,1.51628E+11
1977,1.72349E+11
1978,1.48382E+11
1979,1.76857E+11
1980,1.8965E+11
1981,1.94369E+11
1982,2.0355E+11
1983,2.2895E+11
1984,2.58082E+11
1985,3.0748E+11
1986,2.98806E+11
1987,2.7135E+11
1988,3.10722E+11
1989,3.45957E+11
1990,3.58973E+11
1991,3.81455E+11
1992,4.24934E+11
1993,4.42875E+11
1994,5.62261E+11
1995,7.32032E+11
1996,8.60844E+11
1997,9.58159E+11
1998,1.02528E+12
1999,1.08945E+12
2000,1.20526E+12
2001,1.33223E+12
2002,1.46191E+12
2003,1.64993E+12
2004,1.94175E+12
2005,2.2686E+12
2006,2.72978E+12
2007,3.52309E+12
2008,4.55843E+12
2009,5.05942E+12
2010,6.03966E+12
2011,7.49243E+12
2012,8.46162E+12
2013,9.4906E+12
2014,1.03548E+13
